,0
458,253.777777778
459,213.0
460,201.115942029
461,241.2
462,128.0
463,247.909090909
464,105.29787234
465,12.5294117647
466,271.0
467,91.0
468,151.666666667
469,17.3333333333
470,1143.35185185
471,111.604166667
472,270.0
473,635.5
474,236.304347826
475,547.0
476,137.428571429
477,216.0
478,746.75
479,177.555555556
480,230.117647059
481,191.442307692
482,122.939393939
483,184.428571429
484,113.923076923
485,180.277777778
486,187.0
487,185.0
488,124.153846154
489,76.6
490,105.710659898
491,187.571428571
492,635.363636364
493,84.1666666667
494,307.0
495,19.2857142857
496,221.43902439
497,0.0
498,45.0
499,1.5
500,34.6
501,63.2
502,108.416666667
503,93.7868852459
504,152.466666667
505,197.573529412
506,35.8333333333
507,98.9259259259
508,188.4
509,101.714285714
510,242.275862069
511,0.0
512,114.291666667
513,67.9230769231
514,59.5
515,76.8571428571
516,164.555555556
517,15.0
518,0.0
519,1052.125
520,1507.61538462
521,1621.06060606
522,1.0
523,1096.75
524,391.0
525,965.773584906
526,261.2
527,14.8
528,1214.2
529,28.4285714286
530,2.0
531,141.583333333
532,174.0
533,856.833333333
534,1528.13513514
535,208.0
536,303.666666667
537,83.0
538,1439.62295082
539,953.092307692
540,0.0
541,135.306122449
542,226.25
543,112.7
544,547.0
545,124.666666667
546,233.435897436
547,158.5
548,125.785714286
549,4.33333333333
550,2022.25
551,138.333333333
552,298.896551724
553,166.142857143
554,425.4
555,0.0
556,226.541666667
557,0.0
558,256.307692308
559,166.878787879
560,57.6666666667
561,1498.7037037
562,178.444444444
563,1567.375
564,97.0
565,281.333333333
566,20.6666666667
567,1086.23529412
568,1383.71875
569,182.75
570,78.25
571,313.5
572,108.159090909
573,0.0
574,83.0967741935
575,1397.0
576,62.0
577,0.0
578,72.8
579,189.75
580,95.5294117647
581,196.0
582,90.0476190476
583,226.275862069
584,59.8571428571
585,245.769230769
586,286.9375
587,253.1
588,111.454545455
589,48.6875
590,35.1666666667
591,4.5
592,225.444444444
593,31.6
594,177.333333333
595,8.66666666667
596,74.2285714286
597,57.2777777778
598,0.0
599,59.0
600,172.0
601,82.2857142857
602,53.1428571429
603,68.3125
604,282.1875
605,547.0
606,1.33333333333
607,197.279411765
608,197.272727273
609,116.0
610,147.142857143
611,106.8
612,193.125
613,154.345454545
614,65.25
615,88.2
616,224.210526316
617,193.1
618,0.0
619,134.818181818
620,0.0
621,293.647058824
622,1545.38095238
623,128.0
624,117.630952381
625,74.1666666667
626,75.125
627,1395.28571429
628,169.333333333
629,992.75
630,156.0
631,148.929292929
632,91.0
633,87.3
634,1.33333333333
635,194.033333333
636,21.5714285714
637,694.690140845
638,246.975
639,1505.8
640,158.5
641,153.5
642,1721.66666667
643,1304.93333333
644,0.0
645,99.6
646,237.25
647,356.571428571
648,501.8
649,289.75
650,1059.85882353
651,62.0
652,122.833333333
653,210.293478261
654,152.933333333
655,57.0
656,87.0
657,289.037037037
658,296.142857143
659,1033.93333333
660,165.533333333
661,0.0
662,137.946236559
663,223.785714286
664,675.375
665,286.0
666,91.5869565217
667,1310.1
668,18.5
669,35.0
670,0.0
671,3.0
672,77.25
673,1365.48387097
674,105.15
675,230.56
676,1301.09756098
677,65.5
678,505.777777778
679,191.0
680,83.0
681,1324.26315789
682,131.166666667
683,938.6
684,185.512195122
685,219.0
686,1478.69230769
687,80.8636363636
